week,zone_type,hour,mae
2025-06-30/2025-07-06,airport,0,86.70837927779633
2025-06-30/2025-07-06,airport,1,76.20950740408222
2025-06-30/2025-07-06,airport,2,58.59645529183433
2025-06-30/2025-07-06,airport,3,23.144151913323185
2025-06-30/2025-07-06,airport,4,17.184453425010535
2025-06-30/2025-07-06,airport,5,21.28691518866984
2025-06-30/2025-07-06,airport,6,33.31859781249457
2025-06-30/2025-07-06,airport,7,23.936183812035676
2025-06-30/2025-07-06,airport,8,37.306075772297255
2025-06-30/2025-07-06,airport,9,22.31068209658826
2025-06-30/2025-07-06,airport,10,30.78708691241471
2025-06-30/2025-07-06,airport,11,35.73043362441528
2025-06-30/2025-07-06,airport,12,29.706646349184304
2025-06-30/2025-07-06,airport,13,55.4907993445363
2025-06-30/2025-07-06,airport,14,36.21366816861986
2025-06-30/2025-07-06,airport,15,50.39695278951564
2025-06-30/2025-07-06,airport,16,50.82898749239088
2025-06-30/2025-07-06,airport,17,46.487647574284836
2025-06-30/2025-07-06,airport,18,57.31784738973347
2025-06-30/2025-07-06,airport,19,73.03511302692131
2025-06-30/2025-07-06,airport,20,73.87239594749256
2025-06-30/2025-07-06,airport,21,77.51971706310403
2025-06-30/2025-07-06,airport,22,61.450332533943275
2025-06-30/2025-07-06,airport,23,44.35515488903619
2025-06-30/2025-07-06,non_airport,0,683.0510247427721
2025-06-30/2025-07-06,non_airport,1,401.41046708864275
2025-06-30/2025-07-06,non_airport,2,249.33744208713873
2025-06-30/2025-07-06,non_airport,3,198.70415265306872
2025-06-30/2025-07-06,non_airport,4,139.7168739453349
2025-06-30/2025-07-06,non_airport,5,149.13121281177095
2025-06-30/2025-07-06,non_airport,6,234.44774626060098
2025-06-30/2025-07-06,non_airport,7,486.2858592964206
2025-06-30/2025-07-06,non_airport,8,721.0508801137788
2025-06-30/2025-07-06,non_airport,9,908.1516672775639
2025-06-30/2025-07-06,non_airport,10,974.0429655383855
2025-06-30/2025-07-06,non_airport,11,1063.7629384675354
2025-06-30/2025-07-06,non_airport,12,1188.714328912448
2025-06-30/2025-07-06,non_airport,13,1253.0201511642922
2025-06-30/2025-07-06,non_airport,14,1425.4693291525873
2025-06-30/2025-07-06,non_airport,15,1464.879511113222
2025-06-30/2025-07-06,non_airport,16,1627.2015701006953
2025-06-30/2025-07-06,non_airport,17,1729.502904477043
2025-06-30/2025-07-06,non_airport,18,1781.8018056387764
2025-06-30/2025-07-06,non_airport,19,1806.2196566841894
2025-06-30/2025-07-06,non_airport,20,1671.4979537492377
2025-06-30/2025-07-06,non_airport,21,1524.6878538994831
2025-06-30/2025-07-06,non_airport,22,1397.4725746727322
2025-06-30/2025-07-06,non_airport,23,1029.3178243418513
2025-07-07/2025-07-13,airport,0,116.04872719103224
2025-07-07/2025-07-13,airport,1,61.47249382458099
2025-07-07/2025-07-13,airport,2,56.678037385523126
2025-07-07/2025-07-13,airport,3,21.44833698040874
2025-07-07/2025-07-13,airport,4,13.564927561732867
2025-07-07/2025-07-13,airport,5,20.461096443741933
2025-07-07/2025-07-13,airport,6,36.45815966336737
2025-07-07/2025-07-13,airport,7,23.84904993861372
2025-07-07/2025-07-13,airport,8,31.88839654047751
2025-07-07/2025-07-13,airport,9,29.152436948035003
2025-07-07/2025-07-13,airport,10,17.90892897974509
2025-07-07/2025-07-13,airport,11,49.78341153145516
2025-07-07/2025-07-13,airport,12,28.36551305733492
2025-07-07/2025-07-13,airport,13,50.92806280248086
2025-07-07/2025-07-13,airport,14,38.30578561141853
2025-07-07/2025-07-13,airport,15,37.34502294086424
2025-07-07/2025-07-13,airport,16,49.56200307370129
2025-07-07/2025-07-13,airport,17,51.07820087154012
2025-07-07/2025-07-13,airport,18,44.60871597890256
2025-07-07/2025-07-13,airport,19,56.590486927988124
2025-07-07/2025-07-13,airport,20,49.99046693757146
2025-07-07/2025-07-13,airport,21,65.92405732769208
2025-07-07/2025-07-13,airport,22,62.82266954685336
2025-07-07/2025-07-13,airport,23,56.77074489361319
2025-07-07/2025-07-13,non_airport,0,757.9784859071075
2025-07-07/2025-07-13,non_airport,1,437.55814112170503
2025-07-07/2025-07-13,non_airport,2,240.37207240194712
2025-07-07/2025-07-13,non_airport,3,168.92207626570152
2025-07-07/2025-07-13,non_airport,4,88.91510886566408
2025-07-07/2025-07-13,non_airport,5,134.5527478365456
2025-07-07/2025-07-13,non_airport,6,226.64937549613714
2025-07-07/2025-07-13,non_airport,7,513.5319767024067
2025-07-07/2025-07-13,non_airport,8,711.4718337990467
2025-07-07/2025-07-13,non_airport,9,921.527615627227
2025-07-07/2025-07-13,non_airport,10,1013.6912681462012
2025-07-07/2025-07-13,non_airport,11,1133.260529501592
2025-07-07/2025-07-13,non_airport,12,1170.997873515066
2025-07-07/2025-07-13,non_airport,13,1279.196321698056
2025-07-07/2025-07-13,non_airport,14,1432.380502054788
2025-07-07/2025-07-13,non_airport,15,1529.8032627892273
2025-07-07/2025-07-13,non_airport,16,1550.2278585205402
2025-07-07/2025-07-13,non_airport,17,1765.9735191752713
2025-07-07/2025-07-13,non_airport,18,1821.2221122536548
2025-07-07/2025-07-13,non_airport,19,1837.8245403302667
2025-07-07/2025-07-13,non_airport,20,1706.2574349521933
2025-07-07/2025-07-13,non_airport,21,1619.6235964943376
2025-07-07/2025-07-13,non_airport,22,1443.3584107932613
2025-07-07/2025-07-13,non_airport,23,1138.7521318975148
2025-07-14/2025-07-20,airport,0,76.29045575299584
2025-07-14/2025-07-20,airport,1,79.06578758977676
2025-07-14/2025-07-20,airport,2,47.47640613490971
2025-07-14/2025-07-20,airport,3,20.816767153445255
2025-07-14/2025-07-20,airport,4,16.791549758161857
2025-07-14/2025-07-20,airport,5,24.490764648882635
2025-07-14/2025-07-20,airport,6,36.681815997114576
2025-07-14/2025-07-20,airport,7,23.573742372580917
2025-07-14/2025-07-20,airport,8,32.27712459881497
2025-07-14/2025-07-20,airport,9,27.85609596542404
2025-07-14/2025-07-20,airport,10,18.25377178300855
2025-07-14/2025-07-20,airport,11,40.1086238892751
2025-07-14/2025-07-20,airport,12,32.9248229419965
2025-07-14/2025-07-20,airport,13,47.45137690005734
2025-07-14/2025-07-20,airport,14,38.64345614531163
2025-07-14/2025-07-20,airport,15,57.71708754804325
2025-07-14/2025-07-20,airport,16,43.398165962573344
2025-07-14/2025-07-20,airport,17,53.55035182923259
2025-07-14/2025-07-20,airport,18,48.212580788076046
2025-07-14/2025-07-20,airport,19,51.03739266928453
2025-07-14/2025-07-20,airport,20,66.19398594382004
2025-07-14/2025-07-20,airport,21,63.747421187829545
2025-07-14/2025-07-20,airport,22,60.26037600230008
2025-07-14/2025-07-20,airport,23,48.8887963052271
2025-07-14/2025-07-20,non_airport,0,817.3840323452778
2025-07-14/2025-07-20,non_airport,1,531.5984795396205
2025-07-14/2025-07-20,non_airport,2,310.8648278479479
2025-07-14/2025-07-20,non_airport,3,217.67600512881782
2025-07-14/2025-07-20,non_airport,4,132.59691596224002
2025-07-14/2025-07-20,non_airport,5,178.63330717339153
2025-07-14/2025-07-20,non_airport,6,276.12915430854497
2025-07-14/2025-07-20,non_airport,7,542.8272077589791
2025-07-14/2025-07-20,non_airport,8,785.9036422749114
2025-07-14/2025-07-20,non_airport,9,989.9064286472236
2025-07-14/2025-07-20,non_airport,10,1028.322072985407
2025-07-14/2025-07-20,non_airport,11,1156.4919257119734
2025-07-14/2025-07-20,non_airport,12,1248.4823015473717
2025-07-14/2025-07-20,non_airport,13,1299.5460897122314
2025-07-14/2025-07-20,non_airport,14,1459.5466884636203
2025-07-14/2025-07-20,non_airport,15,1573.328834829569
2025-07-14/2025-07-20,non_airport,16,1657.2015414443354
2025-07-14/2025-07-20,non_airport,17,1696.814792687197
2025-07-14/2025-07-20,non_airport,18,1860.5715668392554
2025-07-14/2025-07-20,non_airport,19,1873.9358512224935
2025-07-14/2025-07-20,non_airport,20,1719.4891566891472
2025-07-14/2025-07-20,non_airport,21,1666.6838451994984
2025-07-14/2025-07-20,non_airport,22,1546.133461820617
2025-07-14/2025-07-20,non_airport,23,1242.9824085989076
2025-07-21/2025-07-27,airport,0,73.63769417669721
2025-07-21/2025-07-27,airport,1,48.26800271302897
2025-07-21/2025-07-27,airport,2,37.67628027910591
2025-07-21/2025-07-27,airport,3,22.0016921873598
2025-07-21/2025-07-27,airport,4,17.46538772458932
2025-07-21/2025-07-27,airport,5,20.70264278591809
2025-07-21/2025-07-27,airport,6,41.531226148359444
2025-07-21/2025-07-27,airport,7,23.620057355351214
2025-07-21/2025-07-27,airport,8,41.92278483026358
2025-07-21/2025-07-27,airport,9,37.17121654678221
2025-07-21/2025-07-27,airport,10,28.317294784179193
2025-07-21/2025-07-27,airport,11,46.675771870607846
2025-07-21/2025-07-27,airport,12,50.97948616792671
2025-07-21/2025-07-27,airport,13,55.916319371688346
2025-07-21/2025-07-27,airport,14,40.09595058566897
2025-07-21/2025-07-27,airport,15,60.88163306636353
2025-07-21/2025-07-27,airport,16,67.78854619417501
2025-07-21/2025-07-27,airport,17,67.66997269373563
2025-07-21/2025-07-27,airport,18,63.65980480637618
2025-07-21/2025-07-27,airport,19,44.05122297573785
2025-07-21/2025-07-27,airport,20,40.859171028635004
2025-07-21/2025-07-27,airport,21,77.74014857032952
2025-07-21/2025-07-27,airport,22,75.36790992109819
2025-07-21/2025-07-27,airport,23,75.59878744706599
2025-07-21/2025-07-27,non_airport,0,933.8579464519499
2025-07-21/2025-07-27,non_airport,1,609.2837508496541
2025-07-21/2025-07-27,non_airport,2,415.1058506805111
2025-07-21/2025-07-27,non_airport,3,273.58105924357636
2025-07-21/2025-07-27,non_airport,4,170.55496722969585
2025-07-21/2025-07-27,non_airport,5,211.581938256807
2025-07-21/2025-07-27,non_airport,6,324.8296879030994
2025-07-21/2025-07-27,non_airport,7,621.6830778621678
2025-07-21/2025-07-27,non_airport,8,813.8901396074627
2025-07-21/2025-07-27,non_airport,9,1027.055360330209
2025-07-21/2025-07-27,non_airport,10,1057.4180834180454
2025-07-21/2025-07-27,non_airport,11,1190.1907118667398
2025-07-21/2025-07-27,non_airport,12,1269.1351366606393
2025-07-21/2025-07-27,non_airport,13,1390.8177306283187
2025-07-21/2025-07-27,non_airport,14,1528.2318531940823
2025-07-21/2025-07-27,non_airport,15,1571.7436681652066
