Borough,zone,LocationID,zone_forecast_7d_trips,zone_share
Manhattan,Upper East Side South,237,40221.46,0.063
Manhattan,Midtown Center,161,35676.22,0.0559
Queens,JFK Airport,132,34358.59,0.5187
Manhattan,Upper East Side North,236,33464.16,0.0525
Manhattan,Penn Station/Madison Sq West,186,26470.11,0.0415
Manhattan,Midtown East,162,26298.63,0.0412
Manhattan,Lincoln Square East,142,24168.95,0.0379
Manhattan,Times Sq/Theatre District,230,23975.14,0.0376
Queens,LaGuardia Airport,138,22597.5,0.3412
Manhattan,Midtown North,163,21752.03,0.0341
Manhattan,Murray Hill,170,20276.11,0.0318
Manhattan,Union Sq,234,20098.82,0.0315
Manhattan,East Chelsea,68,19373.28,0.0304
Manhattan,Upper West Side South,239,19140.28,0.03
Manhattan,Clinton East,48,16989.18,0.0266
Manhattan,Lenox Hill West,141,16722.57,0.0262
Manhattan,East Village,79,16067.89,0.0252
Manhattan,Midtown South,164,15366.73,0.0241
Manhattan,West Village,249,15286.29,0.024
Manhattan,Lenox Hill East,140,14206.87,0.0223
