week,zone_type,hour,mae
2025-06-30/2025-07-06,airport,0,86.70837927779633
2025-06-30/2025-07-06,airport,1,74.78328816761449
2025-06-30/2025-07-06,airport,2,54.91282922447416
2025-06-30/2025-07-06,airport,3,16.165390987868616
2025-06-30/2025-07-06,airport,4,5.283740298395908
2025-06-30/2025-07-06,airport,5,12.16988103721491
2025-06-30/2025-07-06,airport,6,27.402056810076125
2025-06-30/2025-07-06,airport,7,23.095507958144687
2025-06-30/2025-07-06,airport,8,37.306075772297255
2025-06-30/2025-07-06,airport,9,22.31068209658826
2025-06-30/2025-07-06,airport,10,30.78708691241471
2025-06-30/2025-07-06,airport,11,35.73043362441528
2025-06-30/2025-07-06,airport,12,29.706646349184304
2025-06-30/2025-07-06,airport,13,55.4907993445363
2025-06-30/2025-07-06,airport,14,36.21366816861986
2025-06-30/2025-07-06,airport,15,50.39695278951564
2025-06-30/2025-07-06,airport,16,50.82898749239088
2025-06-30/2025-07-06,airport,17,46.487647574284836
2025-06-30/2025-07-06,airport,18,57.31784738973347
2025-06-30/2025-07-06,airport,19,73.03511302692131
2025-06-30/2025-07-06,airport,20,73.87239594749256
2025-06-30/2025-07-06,airport,21,77.51971706310403
2025-06-30/2025-07-06,airport,22,61.450332533943275
2025-06-30/2025-07-06,airport,23,44.35515488903619
2025-06-30/2025-07-06,non_airport,0,681.7889531148248
2025-06-30/2025-07-06,non_airport,1,375.40173895001305
2025-06-30/2025-07-06,non_airport,2,177.5262786461085
2025-06-30/2025-07-06,non_airport,3,112.12357677777325
2025-06-30/2025-07-06,non_airport,4,51.039361620988295
2025-06-30/2025-07-06,non_airport,5,93.84049607327388
2025-06-30/2025-07-06,non_airport,6,202.9072205529616
2025-06-30/2025-07-06,non_airport,7,485.90026201737203
2025-06-30/2025-07-06,non_airport,8,720.9607371656944
2025-06-30/2025-07-06,non_airport,9,908.1516672775639
2025-06-30/2025-07-06,non_airport,10,974.0429655383855
2025-06-30/2025-07-06,non_airport,11,1063.7629384675354
2025-06-30/2025-07-06,non_airport,12,1188.714328912448
2025-06-30/2025-07-06,non_airport,13,1253.0201511642922
2025-06-30/2025-07-06,non_airport,14,1425.4693291525873
2025-06-30/2025-07-06,non_airport,15,1464.879511113222
2025-06-30/2025-07-06,non_airport,16,1627.2015701006953
2025-06-30/2025-07-06,non_airport,17,1729.502904477043
2025-06-30/2025-07-06,non_airport,18,1781.8018056387764
2025-06-30/2025-07-06,non_airport,19,1806.2196566841894
2025-06-30/2025-07-06,non_airport,20,1671.4979537492377
2025-06-30/2025-07-06,non_airport,21,1524.6869037573833
2025-06-30/2025-07-06,non_airport,22,1397.3434476846426
2025-06-30/2025-07-06,non_airport,23,1028.7181467432238
2025-07-07/2025-07-13,airport,0,116.04872719103224
2025-07-07/2025-07-13,airport,1,61.21817506342851
2025-07-07/2025-07-13,airport,2,56.678037385523126
2025-07-07/2025-07-13,airport,3,16.3885135895822
2025-07-07/2025-07-13,airport,4,9.754615893527582
2025-07-07/2025-07-13,airport,5,19.090688896401808
2025-07-07/2025-07-13,airport,6,35.12320440604349
2025-07-07/2025-07-13,airport,7,23.84904993861372
2025-07-07/2025-07-13,airport,8,31.88839654047751
2025-07-07/2025-07-13,airport,9,29.152436948035003
2025-07-07/2025-07-13,airport,10,17.90892897974509
2025-07-07/2025-07-13,airport,11,49.78341153145516
2025-07-07/2025-07-13,airport,12,28.36551305733492
2025-07-07/2025-07-13,airport,13,50.92806280248086
2025-07-07/2025-07-13,airport,14,38.30578561141853
2025-07-07/2025-07-13,airport,15,37.34502294086424
2025-07-07/2025-07-13,airport,16,49.56200307370129
2025-07-07/2025-07-13,airport,17,51.07820087154012
2025-07-07/2025-07-13,airport,18,44.60871597890256
2025-07-07/2025-07-13,airport,19,56.590486927988124
2025-07-07/2025-07-13,airport,20,49.99046693757146
2025-07-07/2025-07-13,airport,21,65.92405732769208
2025-07-07/2025-07-13,airport,22,62.82266954685336
2025-07-07/2025-07-13,airport,23,56.77074489361319
2025-07-07/2025-07-13,non_airport,0,757.6491028979241
2025-07-07/2025-07-13,non_airport,1,436.2380538182778
